?name	?classifciation	?year	?winner	?artist_uri	?artist_name
"American_Music_Award"	"Favorite_Soul/R&B_Female_Artist"	1994	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Mariah-Carey>	"Mariah Carey"
"American_Music_Award"	"Favorite_Country_Band/Duo/Group"	2015	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Little-Big-Town>	"Little Big Town"
"Billboard_Music_Award"	"Top_Hot_100_Song"	2013	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Carly-Rae-Jepsen>	"Carly Rae Jepsen"
"American_Music_Award"	"Favorite_Country_Band/Duo/Group"	2002	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Lonestar>	"Lonestar"
"American_Music_Award"	"Favorite_Pop/Rock_Male_Artist"	2012	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Pitbull-(rapper)>	"Pitbull"
"Grammy_Award"	"Album_of_the_Year"	1985	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Cyndi-Lauper>	"Cyndi Lauper"
"Billboard_Music_Award"	"Top_Female_Artist"	2020	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Ariana-Grande>	"Ariana Grande"
"American_Music_Award"	"Favorite_Pop/Rock_Female_Artist"	1991	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Madonna>	"Madonna"
"American_Music_Award"	"Favorite_Country_Female_Artist"	1993	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Wynonna-Judd>	"Wynonna"
"Billboard_Music_Award"	"Top_Male_Artist"	2019	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Drake-(musician)>	"Drake"
"American_Music_Award"	"Favorite_Pop/Rock_Band/Duo/Group"	1985	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Huey-Lewis-and-the-News>	"Huey Lewis And The News"
"American_Music_Award"	"Favorite_Pop/Rock_Band/Duo/Group"	2016	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Twenty-One-Pilots>	"Twenty One Pilots"
"American_Music_Award"	"Favorite_Country_Male_Artist"	2013	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Blake-Shelton>	"Blake Shelton"
"American_Music_Award"	"Favorite_Pop/Rock_Album"	2013	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Taylor-Swift>	"Taylor Swift"
"Grammy_Award"	"Album_of_the_Year"	1997	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Beck>	"Beck"
"American_Music_Award"	"Favorite_Country_Album"	1984	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Willie-Nelson>	"Willie Nelson"
"Grammy_Award"	"Album_of_the_Year"	2016	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Chris-Stapleton>	"Chris Stapleton"
"American_Music_Award"	"Favorite_Country_Male_Artist"	1990	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Randy-Travis>	"Randy Travis"
"American_Music_Award"	"Favorite_Pop/Rock_Band/Duo/Group"	2001	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/NSYNC>	"NSYNC"
"American_Music_Award"	"Favorite_Soul/R&B_Male_Artist"	1978	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Stevie-Wonder>	"Stevie Wonder"
"American_Music_Award"	"Favorite_Soul/R&B_Female_Artist"	2017	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Kehlani>	"Kehlani"
"American_Music_Award"	"Favorite_Pop/Rock_Female_Artist"	1978	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Barbra-Streisand>	"Barbra Streisand"
"American_Music_Award"	"Favorite_Country_Band/Duo/Group"	1997	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/The-Mavericks>	"The Mavericks"
"Grammy_Award"	"Song_of_the_Year"	2017	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Ed-Sheeran>	"Ed Sheeran"
"Grammy_Award"	"Song_of_the_Year"	1981	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Lionel-Richie>	"Lionel Richie"
"Billboard_Music_Award"	"Top_Female_Artist"	2001	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Dido-(singer)>	"Dido"
"Billboard_Music_Award"	"Top_Female_Artist"	1996	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Alanis-Morissette>	"Alanis Morissette"
"American_Music_Award"	"Favorite_Pop/Rock_Album"	2005	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Green-Day>	"Green Day"
"American_Music_Award"	"Favorite_Pop/Rock_Album"	1990	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/New-Kids-on-the-Block>	"New Kids On The Block"
"Billboard_Music_Award"	"Top_Male_Artist"	2016	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Drake-(musician)>	"Drake"
